	names	category_names	prices	isCorrect
0	含稅42MMX42MM厚081012mm筆電顯示卡散熱銅片導熱銅片純銅片	散熱片、導管	98	1
1	專業繪圖卡ATiRadeonX800pro256MB電腦顯示卡	DDR3	370	1
2	主動式美國原廠晶片DisplayPort轉VGADP轉VGA轉換器轉換線轉接線顯示卡顯卡筆電投影機電腦螢幕Dsub	其他電腦周邊設備	138	1
3	大胖電腦MSI微星R6850CYCLONE1GD5PEOC顯示卡HDMI保固30天直購價500元	DDR5	500	1
4	顯卡顯示卡26X26CM2CM2針靜音風扇散熱器5CM	電腦散熱器	69	1
5	恁玉收藏二手品雅拍技嘉GV-N210TC-1GIOEMPCI-E顯示卡SN102851070642	其他	298	1
6	網路1127基於CUDA的GPU並行程式開發指南9787111630616機械簡體書	網際網路	850	1
7	華碩GT730-MG-2GD3GT7302GPCIE二手顯示卡	DDR3	590	1
8	PCI-E顯示卡AXR72401GBD5二手品>	DDR5	350	1
9	微星R6670-MD1GD31GB顯示卡	其他	200	1
10	FOOL>現貨MAGPUL真品MOEK2尼龍戰術握把M4AR15HK416MK18GRIP	腳架/戰術握把	950	1
11	大胖電腦MSI微星GTX960GAMING2G顯示卡D5128BIT保固30天直購價1600元	DDR5	1600	1
12	Action現貨美國MAGPUL真品-XTM手擋阻手套件組OD軍綠色191320mm軌道	其他合法改裝套件	900	1
13	現貨熱賣喬思伯JonsboVC-3彩色顯示卡支架發光LED酷炫RGB幻彩顯卡支撐架直接插入主板FAN插座使用E	其他	874	1
14	正MAGPULPTSCTR托	槍背帶/槍托	1200	1
15	微星GeForceGTX1050Ti4GTOCV1顯示卡	DDR5	99999	1
16	MAGPUL真品ASAP鋼製背帶扣環座M4AR15HK416KUI酷愛生存遊戲36126	槍背帶/槍托	9991300	1
17	大胖電腦SAPPHIRE藍寶R72501G顯示卡128BIDDR5保固30天直購價500元	DDR5	500	1
18	技嘉GV-N710D5-1GI顯示卡保固內	DDR5	650	1
19	ZOTAC索泰GeForceGTX1070Mini8GDDR5ZT-P10700K-10M顯示卡	DDR5	7500	1
20	rx5708g顯示卡	其他	7700	1
21	微星N460GTXCyclone1GD5OCPCI-E顯示卡2手良品	DDR5	520	1
22	顯示卡風扇原廠Gigabyte技嘉GTX660TiGTX650T129215SM	風扇式	209	1
23	技嘉GV-N210D3-1GI1GB顯示卡	DDR3	140	1
24	微星GeForceGTXTi10504GOCV2顯示卡PCI-E介面	DDR5	1900	1
25	極新微星MSIGeForceRTX309024GGAMINGXTRIO顯示卡	DDR5	42000	1
26	二手技嘉GV-N730-2GI顯示卡	其他	500	1
27	Kaijet凱捷usb20toVGAKJT1680USB外接顯示卡老電腦救星外接顯卡	其他	180	1
28	微星RadeonRX570ARMOR8GOC顯示卡	DDR5	10000	1
29	現貨華碩ASUSPH-GTX1050TI-4G顯示卡四年保	PCI-E介面	5180	1
30	FOOL>現貨MAGPULAKMOE三角托Stock後托美國真品AK47AK74	槍背帶/槍托	3000	1
31	技嘉GV-N1030D5-2GL2GB顯示卡原廠保固至202405	其他	2000	1
32	請詳見方案免整機缺貨ASUS華碩DUAL-RTX3060TI-8G-MINI-V2顯示卡	DDR5	13900	1
33	華碩GTX7502GD5顯示卡PCI-E介面散熱風扇轉速怪怪的	DDR5	1000	1
34	JULE3C會社-索泰ZOTACGT710DDR31G靜音版Zone系列保內短卡PCIE顯示卡	DDR3	888	1
35	技嘉GTX10502GD5顯示卡少用	DDR5	3280	1
36	協明INNO3D映眾GeforceGT10302GBGDDR5顯示卡全新三年保固	DDR5	2488	1
37	技嘉GV-R577UD-1GD顯示卡HDMIDDR5ATI5770	DDR5	1000	1
38	DIY高品質、高散熱、重量輕8卡顯示卡礦架挖礦專用日本進口、品質安全第一二手	其他	1000	1
39	MINI3CMSI微星N630GT-MD2GD3顯示卡HDMIDDR3128BIT	PCI-E介面	449	1
40	喬帝LANTICNGTX460D5-1G2DH顯示卡DDR5256Bit過測良品	DDR5	480	1
41	寶輝科技顯示卡二手技嘉GV-N630D3-1GI1G64BDDR3GT630直購349元	DDR3	349	1
42	預購免運FantasyWings1200金屬地面電源車拖車GPU附駕駛員人偶	民航機	650	1
43	HISH575F1GDD51GB顯示卡	其他	300	1
44	真品MAGPULPMAGM2快拔彈匣底板GMAGVMAG可參考	其他合法改裝套件	400	1
45	出清蘋果原裝顯示卡1G-HD5770MacPro4151專用多張出清	Mac Pro	1500	1
46	大胖電腦MSI微星N630GT-MD4GD3顯示卡HDMI128BIT保固30天直購價800元	DDR3	800	1
47	點子電腦-北投中古NVIDIAQUADRO5000顯示卡測試正常2800元	顯示卡	2800	1
48	技嘉GV-N550D5-1GIGV-N550OC-1GI顯示卡良品	DDR5	500	1
49	含稅非宜花東偏遠加價地區可免運華碩ASUSROG-STRIX-RTX3060TI-O8G-GAMING顯示卡	其他	20000	1
50	含稅大號金手指橡皮擦主機板記憶體顯示卡擦亮各種卡板金手指維修必備KJ96	電腦保養	25	1
51	GC24H出貨ASUS華碩TUFGeForceRTX3060O12GGAMING顯示卡	DDR5	19900	1
52	零件報帳銷帳微星R73702GD5TOC顯示卡MS-V305不保固無退換貨	DDR5	580	1
53	華碩EAH6450SILENTDI1GD3HD64501GPCIE二手顯示卡	DDR3	200	1
54	NVIDIAGTX980TI公版顯示卡現貨一張	其他	7000	1
55	技嘉RTX2070SUPERWINDFORCEOC3X顯示卡賣26500208030703060可參考	其他	10	1
56	BoBoToy現貨XboxGamePassUltimate3個月終極版數位代碼金會員XGPU	控制器、周邊配備	590	1
57	森下商社類MAGPUL款AKGBB握把A型黑色GHKWEMOEMARUI20128	瓦斯槍	500	1
58	技嘉GV-R725OC-1GI顯示卡良品免外接電源外觀新	DDR5	620	1
59	NVIDIAEVGAGTX1050顯示卡	其他	1300	1
60	HP702084-001GT6302GBPCIE二手顯示卡	DDR3	390	1
61	點子電腦北投GIGABYTE技嘉RTX3080GamingOCLHR鎖算力顯示卡34500元	PCI-E介面	34500	1
62	AGP顯示卡	AGP介面	380	1
63	微星R7850TwinFrozr2GD5OCMS-V273PCIE二手顯示卡	DDR5	1090	1
64	二手ASUS華碩GT630-2GD3顯示卡	其他	400	1
65	含稅四片裝22MM22MM厚12MM筆電顯示卡散熱銅片導熱銅片純銅片3C當舖科技館DL83	其他散熱裝置	100	1
66	超商取貨NVIDIAQuadro600Q6003DVGA專業繪圖卡	其他	999999	1
67	新款股票利器USB30TOVGAUSB顯示卡USB30轉VGA高顯晶片多工多螢幕輸出股票達人專用	USB、1394卡	350	1
68	聯嘉電腦全新未拆GALAXGTX1060OC6GBDDR5顯示卡限量一片	DDR5	8390	1
69	二手APD19v316a筆記型電腦液晶螢幕列表機變壓器顯示卡機況如圖廢品賣	電池、變壓器	99	1
70	大胖電腦ASUS華碩ENGTS450DIRECTCUDI1GD5顯示卡保固30天直購價400元	DDR3	400	1
71	x1f525;QMALL商城x1f525;現貨華碩DUAL-RTX3070-O8G顯示卡	顯示卡	17330	1
72	二手、免運顯示卡撼訊R92702GBD5	DDR5	1000	1
73	二手ASUSR92702GDDR5顯示卡	DDR5	1200	1
74	GeForceGT7202GBDDR3顯示卡	其他	350	1
75	啟元唱片非凡人物合唱團SMASHINGPUMPKINS梅倫犬與無盡的憂傷2CD片況良好	團體	299	1
76	全新微星MsiRTX3090SuprimX24G顯示卡已註冊五年保固RTX3090RTX3080	顯示卡	55000	1
77	現貨1張-MSI微星RTX3080GAMINGXTRIO10G顯示卡	其他	50000	1
