	score	category_names	prices	isCorrect
0	221	散熱片、導管	98	1
1	3264	DDR3	370	1
2	8	其他電腦周邊設備	138	1
3	1640	DDR5	500	1
4	45	電腦散熱器	69	1
5	676	其他	298	1
6	46	顯示卡	7000	1
7	2128	DDR3	590	1
8	3785	DDR5	350	1
9	4096	其他	200	1
10	2111	DDR5	1600	1
11	2	其他	874	1
12	4893	DDR5	99999	1
13	634	DDR5	500	1
14	17	DDR5	650	1
15	4343	DDR5	7500	1
16	3055	其他	7700	1
17	1226	DDR5	520	1
18	81	風扇式	209	1
19	4022	DDR3	140	1
20	852	DDR5	1900	1
21	4042	DDR5	42000	1
22	3906	其他	500	1
23	3212	其他	180	1
24	4700	DDR5	10000	1
25	3837	PCIE介面	5180	1
26	3183	其他	37900	1
27	1021	其他	2000	1
28	3935	DDR5	13900	1
29	4	DDR5	1000	1
30	3782	DDR3	888	1
31	3861	DDR5	3280	1
32	3698	DDR5	2488	1
33	722	DDR5	1000	1
34	15	其他	1000	1
35	1	其他CPU 主機板	3500	1
36	828	PCIE介面	449	1
37	3056	DDR5	480	1
38	1	DDR3	349	1
39	3293	其他	300	1
40	23	Mac Pro	1500	1
41	1542	DDR3	800	1
42	799	顯示卡	3499	1
43	3162	顯示卡	2800	1
44	843	DDR5	500	1
45	4785	其他	20000	1
46	3194	電腦保養	25	1
47	4612	DDR5	19900	1
48	920	DDR5	580	1
49	2082	DDR3	200	1
50	589	其他	7000	1
51	1373	其他	10	1
52	38	顯示卡	3500	1
53	3755	DDR5	620	1
54	3694	其他	1300	1
55	1237	DDR3	390	1
56	4431	PCIE介面	34500	1
57	15	AGP介面	380	1
58	1796	DDR5	1090	1
59	4919	其他	400	1
60	131	其他散熱裝置	100	1
61	127	USB、1394卡	350	1
62	4197	DDR5	8390	1
63	7	電池、變壓器	99	1
64	1908	DDR3	400	1
65	3940	顯示卡	17330	1
66	215	DDR5	1000	1
67	103	DDR5	1200	1
68	4073	其他	350	1
69	4312	顯示卡	55000	1
70	5008	其他	50000	1
71	3687	DDR5	600	1
72	1315	DDR3	200	1
73	117	DDR5	2050	1
74	339	其他	150	1
75	5153	其他	7590	1
76	4746	DDR5	17700	1
77	4	DDR3	120	1
78	1031	DDR5	600	1
79	353	DDR5	750	1
80	4257	DDR3	100	1
81	1	DDR3	299	1
82	33	顯示卡	1800	1
83	4009	其他	150	1
84	4014	其他	450	1
85	3552	PCIE介面	3500	1
86	807	顯示卡	4100	1
87	1160	DDR5	1090	1
88	4329	其他	1500	1
89	5026	DDR5	1240	1
90	4754	其他	200	1
91	42	其他多媒體配件	1399	1
92	3	包裝用品	830	1
93	3100	DDR5	59990	1
94	4391	其他電腦周邊設備	1960	1
95	79	電源線	15	1
96	4204	AGP介面	500	1
97	461	顯示卡	15000	1
98	3946	顯示卡	100	1
99	4809	DDR5	1690	1
100	1018	DDR5	450	1
101	3693	DDR3	490	1
102	3803	DDR5	1000	1
103	1526	DDR5	1000	1
104	2033	DDR3	540	1
105	4099	其他	200	1
106	3970	其他	6990	1
107	70	DDR5	320	1
108	232	DDR3 SDRAM	2100	1
109	3243	AGP介面	190	1
110	3971	DDR5	14000	1
111	117	DDR5	1800	1
112	329	DDR3 SDRAM	1290	1
113	4434	DDR5	1500	1
114	3789	DDR3	200	1
115	3937	DDR3	790	1
116	236	DDR3	100	1
117	4585	DDR5	1000	1
118	3	DDR3	120	1
119	156	DDR5	299	1
120	766	DDR5	1600	1
121	3806	DDR3	250	1
122	4053	DDR5	900	1
123	890	DDR5	630	1
124	991	其他	43500	1
125	179	其他	1500	1
126	974	附件及改裝品	60	1
127	3054	附件及改裝品	1	1
128	3280	其他散熱裝置	499	1
129	3374	轉接線、轉接頭	90	1
130	3953	顯示卡	195	1
131	1	顯示卡	50	1
132	4700	DDR3	250	1
133	156	其他	3000	1
134	1317	DDR3	320	1
135	12	600W	680	1
136	1756	DDR3	260	1
137	899	DDR5	630	1
138	4616	DDR5	450	1
139	140	其他	1050	1
140	2293	DDR5	390	1
141	3817	DDR5	8500	1
142	1204	DDR5	450	1
143	3958	DDR5	3650	1
144	1000	DDR5	1290	1
145	791	DDR3	400	1
146	726	DDR3	350	1
147	4370	DDR3	380	1
148	912	DDR5	20980	1
149	1691	DDR5	690	1
150	1087	DDR5	350	1
151	1897	DDR3	500	1
152	1850	DDR3	1200	1
153	3468	其他	100	1
154	3067	其他	10	1
155	225	其他	200	1
156	4919	DDR3	175	1
157	817	DDR3	350	1
158	259	其他	14490	1
159	3112	DDR3	300	1
160	989	顯示卡	33500	1
161	223	顯示卡	5200	1
162	3843	DDR5	500	1
163	3224	其他	250	1
164	3954	DDR3	499	1
165	4303	其他	200	1
166	906	DDR3	340	1
167	3754	DDR5	2900	1
168	2	DDR3	400	1
169	3048	DDR5	19900	1
170	3415	DDR5	500	1
171	4015	其他	700	1
172	3	PCIE介面	180	1
173	4	DDR5	2688	1
174	3761	DDR5	1490	1
175	3261	其他	20265	1
176	4372	DDR5	10500	1
177	3487	DDR5	450	1
178	3953	DDR5	1299	1
179	5633	其他	2800	1
180	736	DDR5	500	1
181	907	DDR5	250	1
182	3926	DDR5	2500	1
183	1234	DDR5	1000	1
184	1322	DDR5	4300	1
185	729	DDR5	1280	1
186	3799	PCIE介面	500	1
187	3118	其他	449	1
188	42	電源線	15	1
189	4388	其他	1880	1
190	52	其他	139	1
191	3707	PCI介面	2000	1
192	4409	其他	490	1
193	4855	DDR3	300	1
194	4371	DDR3	200	1
195	13	DDR5	1500	1
196	5086	DDR3	350	1
197	815	DDR5	730	1
198	3753	DDR5	300	1
199	2023	DDR5	500	1
200	3100	PCI介面	2000	1
201	4890	其他	1000	1
202	3784	DDR3	350	1
203	4042	DDR5	280	1
204	833	DDR5	3500	1
205	1360	顯示卡	19500	1
206	4	顯示卡	18888	1
207	5140	DDR5	1300	1
208	3850	DDR5	4050	1
209	4206	DDR5	7600	1
210	2	DDR5	200	1
211	1013	DDR5	200	1
212	62	風扇式	179	1
213	1019	DDR3	750	1
214	3758	DDR5	5	1
215	3108	DDR3	500	1
216	1041	DDR3	600	1
217	4701	其他	2400	1
218	4153	其他	270	1
219	745	其他	1000	1
220	1	PCIE介面	3000	1
221	6	DDR5	430	1
222	23	DDR5	1299	1
223	3827	DDR5	1	1
224	3893	DDR5	9500	1
225	196	顯示卡	8000	1
226	141	顯示卡	7000	1
227	3863	DDR3	299	1
228	25	DDR3	400	1
229	100	DDR5	1800	1
230	4086	其他	99	1
231	750	顯示卡	49000	1
232	255	DDR5	2300	1
233	4237	其他	250	1
234	4377	DDR5	9500	1
235	16	DIY 電競	8000	1
236	3041	DDR5	600	1
237	3342	空機殼	39	1
238	199	HDMI線	130	1
239	631	DDR3	200	1
240	54	其他線材	35	1
241	4444	其他	9996990	1
242	3904	其他	12990	1
243	3	其他CPU	1500	1
244	818	DDR5	890	1
245	1663	其他	500	1
246	43	DDR3	380	1
247	26	500W	480	1
248	113	顯示卡	29900	1
249	3785	DDR5	2100	1
250	3932	DDR5	2000	1
251	28	DDR5	490	1
252	3255	DDR3	299	1
253	27	其他	200	1
254	20	DDR3	200	1
255	234	DDR5	410	1
256	3859	DDR5	400	1
257	1	DDR5	1950	1
258	4725	DDR3	900	1
259	4586	DDR5	2000	1
260	312	顯示卡	1500	1
261	3190	其他	24900	1
262	4922	DDR5	300	1
263	14	DDR5	649	1
264	1717	DDR5	500	1
265	819	DDR5	620	1
266	3168	DDR5	5888	1
267	4857	其他	1600	1
268	824	其他線材	1690	1
269	3097	其他	30	1
270	29	DDR5	800	1
271	3873	DDR5	6700	1
272	765	DDR5	750	1
273	486	引擎、機體零件 	23500	1
274	823	其他	310	1
275	4837	其他	2300	1
276	772	DDR3	250	1
277	1532	其他	27000	1
278	3837	DDR5	350	1
279	1112	DDR5	390	1
280	457	DDR5	32999	1
281	539	DDR3	2500	1
282	1646	顯示卡	48000	1
283	4465	其他	15000	1
284	3773	DDR3	199	1
285	921	DDR5	425	1
286	3645	顯示卡	1	1
287	4732	其他	6499	1
288	920	其他	4900	1
289	797	DDR5	5200	1
290	3298	電腦零組件	12990	1
291	715	DDR5	1680	1
292	3149	其他	5990	1
293	3790	其他	49000	1
294	295	DDR3	4000	1
295	1	DDR5	60	1
296	5	顯示卡	340	1
297	4743	DDR5	1990	1
298	4067	其他	250	1
299	3819	DDR3	200	1
300	1638	DDR5	550	1
301	3581	DDR3	600	1
302	1777	DDR3	320	1
303	740	顯示卡	1500	1
304	1654	DDR5	740	1
305	4102	其他	300	1
306	243	DDR3	215	1
307	3754	DDR3	500	1
308	307	其他	21000	1
309	17	DDR5	1999	1
310	3103	附件及改裝品	299	1
311	1	其他散熱裝置	50	1
312	99	其他	15	1
313	3788	DDR5	275	1
314	3930	DDR3	700	1
315	3858	DDR3	320	1
316	1	DDR5	250	1
317	5051	DDR5	750	1
318	5383	DDR5	3000	1
319	1928	DDR5	1890	1
320	2085	DDR5	550	1
321	2062	DDR3	390	1
322	486	其他	7000	1
323	3929	DDR3	430	1
324	926	DDR5	620	1
325	4942	DDR5	1500	1
326	296	DDR5	590	1
327	912	DDR5	620	1
328	3051	其他	100	1
329	804	DDR5	900	1
330	1	DDR5	3200	1
331	1351	DDR3	9999	1
332	17	其他CPU	3700	1
333	923	DDR5	600	1
334	4364	DDR3	350	1
335	4024	其他	13500	1
336	357	DDR5	1699	1
337	3879	DDR5	2790	1
338	4087	DDR5	1400	1
339	3051	DDR5	100	1
340	1582	顯示卡	350	1
341	4879	顯示卡	200	1
342	5531	顯示卡	15690	1
