	score	category_names	prices	isCorrect
0	0	其他	99	0
1	0	收集卡	99	0
2	0	台灣郵票	73	0
3	0	雨衣	260	0
4	0	平口褲	100	0
5	0	日本職棒	10	0
6	0	日本職棒	10	0
7	0	其他	60	0
8	0	其他	650	0
9	0	中國現代小說	149	0
10	0	台灣	120	0
11	0	喜糖	120	0
12	0	其他用具	90	0
13	0	電動槍	2500	0
14	0	其他	50	0
15	0	台灣	60	0
16	0	特攝系列	50	0
17	13	美國職棒	20	0
18	0	Hello Kitty	230	0
19	0	其他	1600	0
20	0	花苗、樹苗	1	0
21	0	台灣	90	0
22	0	其他品牌	500	0
23	0	台灣	250	0
24	1	IC	70	0
25	6	燈泡	50	0
26	0	電腦椅	899	0
27	0	其他	100	0
28	1	其他軍用裝備、配件	100	0
29	0	萊爾富	400	0
30	0	收集卡	189	0
31	0	亞洲其他國家	70	0
32	0	螺旋藻、綠藻、藍藻	850	0
33	0	咖啡豆	400	0
34	0	其他鞋櫃	2300	0
35	0	其他	30	0
36	0	成套內衣褲	60	0
37	0	其他手動工具	2500	0
38	0	其他	600	0
39	1	其它	92	0
40	0	台灣	330	0
41	45	西洋	1000	0
42	0	水電、油漆、維修服務	500	0
43	0	洗澡用具	399	0
44	9	引擎、車組零件	150	0
45	0	巧克力、可可	90	0
46	70	其他零組件	20	0
47	0	人文、藝術 	19	0
48	3	料理刀具、砧板	2200	0
49	2	電子電工工具	1000	0
50	0	台灣	180	0
51	0	其他	250	0
52	0	藝術、建築、設計	450	0
53	0	其他事務用品 	124	0
54	0	天線、強波器	50	0
55	2	電子電工工具	80	0
56	0	水瓶世紀	100	0
57	2	保濕乳液、霜	1050	0
58	0	膠台、雙面膠	100	0
59	70	女歌手	210	0
60	0	其他	2	0
61	1	台灣郵票	50	0
62	14	撲克牌	450	0
63	0	測速器	90	0
64	0	法器供品	88	0
65	0	面罩面具	80	0
66	0	美食指南	40	0
67	0	零件、配件	14	0
68	1	其他線材	360	0
69	6	其他籃球用品	320	0
70	0	其他品牌	219	0
71	0	遮陽隔熱	380	0
72	0	車身標誌、貼紙	129	0
73	0	其他	320	0
74	1	機上盒、選台器	9500	0
75	0	其他	320	0
76	0	其他	50	0
77	0	引擎、車組零件	300	0
78	0	其他	80	0
79	0	其他	30	0
80	0	電子電工工具	57	0
81	0	電晶體	20	0
82	121	油品	760	0
83	0	BB彈彈匣	350	0
84	0	傳統曲藝	450	0
85	7	短袖T恤	200	0
86	8	車身標誌、貼紙	49	0
87	0	其他	59	0
88	0	其他	210	0
89	0	花架、花盆	80	0
90	0	電池	450	0
91	0	雨衣	735	0
92	0	踏板	168	0
93	0	拍痧棒、刮痧板	250	0
94	0	有機茶、飲品	600	0
95	0	毛筆	49	0
96	0	其他事務用品 	100	0
97	0	其他	170	0
98	0	其他	30	0
99	0	其他音響設備	150	0
100	0	台灣	40	0
101	41	夾鏈袋	188	0
102	0	燈罩、燈泡	200	0
103	0	羽球	30	0
104	52	其他電腦周邊設備	1300	0
105	0	輪胎、輪圈	3	0
106	3	其他機車零組件	750	0
107	0	BD藍光	249	0
108	0	其他雜誌	93	0
109	0	修車工具	3390	0
110	0	其他運動用品	153	0
111	0	台灣	250	0
112	0	沙發床	999	0
113	0	水壺、水壺架	153	0
114	0	補漆	250	0
115	0	LEGO人偶	430	0
116	0	其他	60	0
117	0	其他用品	240	0
118	0	果乾、堅果	690	0
119	0	圍兜	25	0
120	0	其他五金工具	14500	0
121	0	其他	224	0
122	0	其他床墊	470	0
123	0	零件、配件	4	0
124	0	其他五金工具	3500	0
125	0	其他	50	0
126	0	零件、配件	3	0
127	0	水箱罩	500	0
128	0	脫毛用品	299	0
129	2	其他機車零組件	250	0
130	67	其他散熱裝置	249	0
131	0	變速系統零件	30	0
132	0	其他網路小說	60	0
133	1	Panasonic國際	800	0
134	0	維他命	900	0
135	0	其他音響設備	800	0
136	0	其他機車零組件	80	0
137	0	其他機車零組件	200	0
138	0	其他氣動工具	4999	0
139	0	其他	899	0
140	0	其他	5	0
