	names	category_names	prices	notCorrect
0	阿x05494;商貿現貨服裝金屬尾夾扣衣帽輔料織帶尾部夾子松緊帶活動尾夾扣可定制	其他手工藝材料	205	0
1	全新現貨x1f60a;PTCG大器晚成班基拉斯快龍烈咬陸鯊巨金怪黏黏寶黏美龍寶可夢中心寶可夢TCG卡墊桌墊	神奇寶貝	1080	0
2	小荳樂高LEGO中間天空藍色1x1帶爪薄板-垂直PlateTooth150706138770	零件、配件	4	0
3	CR2032紐扣電池2032電池1板5個169-01334	其他	30	0
4	白帶魚休閒小鋪T3-008-1香檳粉VIB各種路亞顫泳鐵板鉛筆軟蟲鉛頭鉤木蝦波扒小胖子米諾	魚餌	15	0
5	Zefra遊戲王CP20-JP026源數網絡亮面文	遊戲王	250	0
6	黑水微物抖vib顫泳25g5g金屬顫泳鉛頭鉤路亞假餌米諾波趴顫泳鐵板木蝦	釣竿	15	0
7	積木樂園樂高LEGO10932Duplo系列施工現場組	套裝盒組	1874	0
8	"下標詢問	麥法蘭DCMultiverse7吋白騎士超人對蹂躪者2入1組現貨代理"	SPAWN	1079	0
9	花鹿魚坊半浮水尼龍線雙色150米磯釣釣魚釣具釣線	魚線	155	0
10	新年熱賣洗臉盆水槽龍頭六角空心加長套筒工具衛浴安裝維修龍頭拆卸扳手	其他	220	0
11	牌塔WSMarvelMARS89-034RR薩諾斯漫威紙牌卡片收藏卡	其他紙牌遊戲	60	0
12	網紅汽車擺件車內飾品路飛手辦創意可愛海賊王中控臺裝飾車載高檔	其他汽車精品	76	0
13	＊電池倉庫＊斷電頭斷電開關斷電裝置	電池	99	0
14	正宗戶戶粗辣椒碎1kg腌制韓式泡菜辣白菜用粗辣椒粉面燒烤調味料生活必備露天拍賣	其他食品	425	0
15	120色眼影眼影盤烤粉	彩妝組合	450	0
16	高檔雙GG古琦男女士同款真皮牛皮平滑扣皮帶商務休閑奢侈品腰帶	皮革皮帶	325	0
17	x0273f;現貨x0273f;PCGAME四海兄弟3黑手黨3MafiaIII中英文亞版實體包	射擊	400	0
18	大熊二手3C35硬碟-原廠保內-10T-IronWolfProNASST10000NE0008	電腦硬碟	7500	0
19	十分享瘦餐60道精緻美食減重餐美食照吃體重照減│台視│林麗華食譜減肥保養美容A1	保養	15	0
20	TDC車用部品後擋遮陽板：三菱,菱帥,LANCER,VIRAGE,GLOBALLANCER,後上遮,後導流	其他汽車精品	850	0
21	芊恩零食小舖品億飛機餅岩鹽味量販包3000g330元奶素古早味餅乾飛機餅乾另有數字餅奇福餅	其他餅乾	330	0
22	"3條組合裝現貨48a透氣親膚修身男士內褲男平角褲純棉透氣褲衩舒適潮流騷個性格子四角短褲頭	"	四角褲	439	0
23	抹茶粉巧克力粉100%純抹茶粉細緻研磨濃郁好喝大包裝500克抹茶100%純可可粉	飲料、飲品	190	0
24	熊牌BAKUMA黑金鋼PVC水管剪三角刀BP-36-SS三角刀替刃	刀	280	0
25	航太風航太工業風格全餐車	其他	13800	0
26	IBM49Y1840300GB10K256GBPSHSSASServer	其他網路設備	650	0
27	x0273f;花卡鋪x0273f;遊戲王1101日紙DS14-JPL37增援金亮98分	遊戲王	170	0
28	私立高校亞瑟士ASICS1011A854-002TARTHEREDGE2男鞋慢跑鞋A0170	asics	2880	0
29	Ｍ福特Ford2020KugaST-Line專用後雨刮後雨刷飾條後雨刷飾蓋三節式雨刷碳纖紋亮銀	其他汽車百貨	421	0
30	HONDAK83D三門音響板後棧板折摺板看清楚不要被騙了	其他汽車零件	1300	0
31	現貨特價新款經典款運動鞋TANJUN慢跑鞋網鞋情侶款男鞋女鞋休閒鞋舒適透氣鞋子超輕	其他品牌	642	0
32	99年6月電擊HOBBY雜誌日文版	其他比例	30	0
33	10個裝雙頭網紋鋁柱M3x1518202225283035長通孔超輕鋁管	其他	290	0
34	佐賀偶像是傳奇2021Live物販外套專屬	國際代購/代買	1	0
35	私密生活萌小希8頻8速吸吮加熱穿戴跳蛋虐戀情趣精品	多段變頻	850	0
36	磁性泡綿貼磁性數字貼英文字母貼冰箱貼兒童益智拼圖磁性泡綿字母貼	中性筆	52	0
37	24hr出貨體重秤USB充電精準電子秤輕奢蝴蝶黑色體重秤家用稱重計量成人減肥	其他	499	0
38	最低價3M巧拼3M無毒安全防撞巧拼地墊6入32cmX32cm厚度2cm	其他	220	0
39	Miffy米菲台灣製造米菲法蘭絨暖暖被	其他	799	0
40	超萌行銷現貨ROBOT魂鋼彈第08小隊OPTIONPARTS擴充配件ANIME	ROBOT魂	830	0
41	葛魯庫雷的卡店VJMPjp200神鷹寵物龍聖火千兆金亮	收集卡	149	0
42	1kg生豆東帝汶阿拉比卡-世界咖啡生豆咖啡生豆工廠×尋豆只為飄香台灣咖啡生豆咖啡豆	咖啡豆	280	0
43	再生卡鋪遊戲王遊戲王預售BODE-JP034喵太環	遊戲王	40	0
44	阿瑜小舖20TP-JP211妖精騎士因格納爾普卡	遊戲王	10	0
45	SIYO世友隨身碟讀卡機	隨身碟	19	0
46	宇慶S舖刷卡分期｜三合一通用牧田套裝60AH雙電工具袋｜日本ASAHI21V衝擊起子機扳手機無刷砂輪機	其他五金工具	6400	0
47	999%甲醇500ml1L4L工業甲醇工業酒精不可食用酒精-減加壹原料生活館	其他	40	0
48	茶韻珍藏老熟磚茶-九O年代-無農藥殘留棗香磚-沖泡煮飲皆宜,,30G茶樣品飲包	普洱茶	140	0
49	OGC情趣用品ANEROSANEROSEUPHOSYN活力進化版現貨供應2016060630	後庭用品	3390	0
50	特典非賣品親愛的厄運情人Chara2016活動特典複製簽名迷你色紙>二x05bab;x060a6;巳	其他	150	0
51	壓敏電阻14D271K直徑14MM電壓270V壓敏電阻器14D-271K10只214-01711	其他	35	0
52	電焊機電焊機電焊線焊把線接地線搭鐵線龍頭線電纜線1618202535平方	其他	270	0
53	遊戲王Rc03-jp012屋敷童子	遊戲王	35	0
54	京港電子210302020070UL1015多芯電子線16AWG-黑100FT105℃	電源線	360	0
55	24hr出貨藍牙音響無線音響音響無線藍牙音箱低音炮大音量多功能電腦筆記本家用手機鬧鐘插卡	手提音響	599	0
56	晶站防水型4PIN出線205mm快速接頭公母接頭防水接頭快拆快接附左右電線15公分防水快接	其他機車零組件	70	0
57	露天書寶二手書T5財經企管_EVI大哉問時代_華倫x02022;伯格	生涯規劃	39	0
58	圓融文具小妹公司貨含稅價YAMAHA山葉直笛英式中音Alto國中音樂課用直笛YRA-28BIII	木管樂器	375	0
59	熱血沸騰MOS一代二代三代勁戰碳纖維GP前土除卡夢YAMAHAGP卡夢前土除卡夢GP造型前土除	其他機車零組件	3000	0
60	LandsEnd:foundation2,小書8x15=120	其他	15	0
61	附發票濾壓壺Tiamo新歐風濾壓壺700ml通過SGS檢測HA4104	其他咖啡用品	650	0
62	積木樂園樂高Lego61727674175深砂色薄板附梯1x2withLadderT532	零件、配件	7	0
63	華品台586-180年台灣植物臺灣植物郵票4全上品特290-1專290-1	台灣郵票	25	0
64	99新日文原書京都千年x0306e;都x0306e;x06b74;史岩波新書高橋昌明	原文小說	150	0
65	辛迪酷G買就送17件套兒童溜冰鞋直排輪鞋兒童直排輪滑男女閃光溜冰鞋兒童全套裝可調滑冰鞋旱冰鞋	溜冰鞋/直排輪鞋	1180	0
66	6745機車工具修車用保險鉗鋼絲旋轉鉗繞線鉗絞線鉗重車扭線鉗9特工航空鉗台灣外銷歐美	扳手	650	0
67	Asaku卡片本舖寶可夢中文版SC2A112SC2D097烏賊王	神奇寶貝	10	0
68	x1f525;1200免運x1f525;幸福小舖臺灣製竹碳無痕休閒襪Romance寬口襪男女適穿	短襪	20	0
69	海奇牌FUSE保險管座玻璃保險絲座熔斷器耐高溫5X20630mmF3173	保險絲	6	0
70	ps4太鼓達人hori太鼓	PlayStation 4	1690	0
71	樂遊wowCORE-JP048惡魔龍黑魔龍金亮	遊戲王	50	0
72	卡小窩遊戲王CP17-JP020白鬥氣白鯨雕鑽	遊戲王	400	0
73	INTEL775CPU4核Q9450950094009300Q820083008400Q6600	其他CPU	80	0
74	2013-14Elite42KyleKorver老鷹隊	美國職籃	6	0
75	RD卡舖RDSBD6-JP003天帝龍樹世界樹龍x0ff3b;Rx0ff3d;普卡	遊戲王	15	0
76	24H出貨研磨機磨粉機榮事達磨粉機五谷雜糧粉碎機家用小型打粉機超細研磨器干磨打碎機	其他廚房用品	479	0
77	遊戲本舖2號店代購日文漫畫戰慄情人不設防Gx030fb;DEFEND70森本秀2022125	原版漫畫	300	0
78	通用款噴水袋,清洗擋風玻璃,MINI303T古董車改裝車可安裝	其他汽車零件	400	0
