A,B,C,D
0,其他紙牌遊戲,10,0
0,遊戲王,10,0
0,遊戲王,10,0
0,其他,10,0
0,遊戲王,10,0
0,遊戲王,10,0
0,人文、藝術 ,10,0
0,遊戲王,10,0
0,種子、球根,10,0
0,遊戲王,10,0
0,魚餌,10,0
0,遊戲王,10,0
7,電阻器,10,0
4,零件、配件,10,0
0,遊戲王,10,0
13,周邊配備,10,0
6,其他音響設備,10,0
6,其他音響設備,10,0
0,保鮮盒、便當盒,10,0
0,其他用品,10,0
0,台灣職棒,10,0
0,遊戲王,10,0
2,剪報、雜誌,10,0
0,遊戲王,10,0
1,其他,10,0
0,遊戲王,10,0
0,遊戲王,10,0
0,車身標誌、貼紙,10,0
2,其他引擎系統零件,10,0
5,燈泡,10,0
0,魔法風雲會,10,0
0,神奇寶貝,10,0
0,遊戲王,10,0
0,日本職棒,10,0
4,美國職棒,10,0
11,美國職棒,10,0
0,其他,10,0
0,其他,10,0
9,其他,10,0
1,魔法風雲會,10,0
0,美食指南,40,0
0,台灣,40,0
0,其他,40,0
0,西洋現代小說,40,0
0,裝修除味保養,40,0
0,臂章識別章,40,0
2,充電器、電池套裝組,40,0
1,書衣,40,0
0,其他漫畫,40,0
0,遮光罩,40,0
0,其他漫畫,40,0
0,其他漫畫,40,0
70,其他機車零組件,40,0
0,滑板,40,0
0,其他,40,0
0,其他汽車零件,40,0
0,其他,40,0
53,眼鏡盒,40,0
0,郵封,40,0
0,洗碗精,40,0
0,其它壁紙,40,0
0,收集卡,40,0
0,其他軍用裝備、配件,40,0
0,其他漫畫,40,0
6,其他,40,0
3,轉接環,40,0
0,其他緊固件,40,0
0,其他園藝用具,40,0
1,網球線,40,0
0,其他,40,0
0,文學小說,40,0
4,耳機附件,40,0
2,其他,40,0
0,電晶體,40,0
0,九把刀,40,0
0,麵包花、紙黏土用品,40,0
0,螢幕保護貼,40,0
0,其他五金工具,40,0
4,其他緊固件,40,0
175,螢幕線,40,0
0,引擎、機體零件 ,40,0
0,其他五金工具,40,0
0,其他,40,0
0,犬用梳子,40,0
3,其他筆電周邊,40,0
0,收納層架,40,0
0,LEGO人偶,40,0
0,遊戲王,40,0
0,其他紙牌遊戲,40,0
1,花苗、樹苗,40,0
1,花苗、樹苗,40,0
0,種子、球根,40,0
0,席絹,40,0
0,其他,40,0
0,其他,40,0
0,其他,40,0
1,組裝、修補工具,40,0
0,其它壁紙,40,0
53,周邊紀念品,40,0
0,其他園藝用具,40,0
33,零件,40,0
0,電晶體,40,0
1,車身標籤、貼紙,40,0
0,台灣郵票,40,0
0,漫畫書,40,0
0,LEGO人偶,40,0
0,零件、配件,40,0
0,文學小說,40,0
0,其他電腦周邊設備,40,0
5,配件專區,40,0
72,其他汽車精品,40,0
2,其它,40,0
0,文學小說,40,0
0,其他紙牌遊戲,40,0
0,遊戲王,40,0
0,轉接線、轉接頭,40,0
0,其他,40,0
0,其他,40,0
0,遊戲王,40,0
1,劇情,40,0
0,水彩筆、油畫筆,41,0
0,其他,42,0
1,其他氣動工具,42,0
0,零件、配件,42,0
0,裝飾擺設,42,0
0,蠟筆,42,0
0,裝修除味保養,42,0
16,其他,42,0
0,其他,42,0
13,充電、傳輸線,43,0
0,魚鉤、魚網、架竿器,43,0
0,非洲紙鈔 ,43,0
0,其他,44,0
0,其他用品,44,0
8,其他,45,1
3396,螢幕線,45,1
47,電源線,45,1
3472,轉接線、轉接頭,45,1
10,其他散熱裝置,45,1
8,DDR3 SDRAM,45,1
8,電源線,45,1
12,其他線材,45,1
157,電源線,45,1
3472,轉接線、轉接頭,45,1
0,其他,45,0
0,橡皮擦,45,0
